,ARIMA_Forecast,Lower_CI,Upper_CI,ARIMA_YoY,Month
2025-01-01,65.21247626909754,43.08589444237945,87.33905809581563,27.44276180986392,January
2025-02-01,65.2661989392959,41.88982839694731,88.6425694816445,44.52032756454288,February
2025-03-01,65.2677173229112,40.82848082655093,89.70695381927146,23.38713845481195,March
2025-04-01,65.26776023754658,39.8132542034768,90.72226627161636,47.3729201011337,April
2025-05-01,65.26776145045874,38.83704471720294,91.69847818371453,35.2046321009004,May
2025-06-01,65.26776148473972,37.89563032634311,92.63989264313633,13.99600775003005,June
2025-07-01,65.26776148570862,36.98553495512756,93.54998801628967,-33.45355686113707,July
2025-08-01,65.267761485736,36.10382638095436,94.43169659051765,9.56978996192595,August
2025-09-01,65.26776148573677,35.248003257834,95.28751971363954,10.29997102652589,September
2025-10-01,65.2677614857368,34.4159113414185,96.11961163005509,-24.123399815168728,October
2025-11-01,65.2677614857368,33.60567958019548,96.92984339127813,11.999420523809395,November
2025-12-01,65.2677614857368,32.815670584549224,97.71985238692437,3.089592503297433,December
